Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Latvia,0.0,0.0,19.2589989,41.4479967,5.646998,14.1916251,49.7671656,119.9674408,134.1132421,165.9436967,161.7948373,149.7699398,144.9972689,158.5701566,154.9939176,144.2222839,180.787614,130.8501559,115.1388518,88.1131531,98.5950593,101.030448,101.1865965,95.0,0.0,0.0,0.0,0.0,0.0
Lithuania,0.0,0.0,1.5540002,8.800001,37.1499909,67.6134552,66.1813249,108.3371917,135.0571186,158.4275411,173.2436753,204.3201294,208.3131568,173.0690057,197.2883019,193.4212782,213.4232022,230.0800162,203.7830587,209.7771589,222.6261261,179.7829024,193.2187238,197.0,0.0,0.0,0.0,0.0,0.0
Luxembourg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.1944003,144.1599958,133.2743666,172.2970206,189.8677859,220.6984209,226.8720411,233.14418,250.6164897,238.8282806,221.9069736,232.2843907,214.5667871,212.2320875,241.0,0.0,0.0,0.0,0.0,0.0
Malta,19.6129985,12.9450024,15.8150009,21.7720011,11.590998,21.2016405,9.0750699,8.8473596,6.5857612,8.6434385,8.8105016,9.0843982,8.8342425,10.562217,15.5230233,16.2784546,28.8119257,15.906515,22.7471165,14.1236398,12.027799,15.5570067,20.9978384,22.0,0.0,0.0,0.0,0.0,0.0
Netherlands,2382.753011,2487.6610111,3260.867014,2719.4520038,2122.2060116,2293.421015,2509.3582115,2366.7278203,1960.9175199,1471.2489168,1859.7716796,1677.0782898,1573.917885,1742.5018889,1978.1406346,1926.9309681,2128.7880598,2292.0910668,1323.56366,897.8116087,1347.0822875,909.250259,1382.4607587,1625.0,0.0,0.0,0.0,0.0,0.0
Poland,334.5920014,243.0240021,1650.229026,1544.7148774,1742.1634066,1636.6600966,1755.4562076,1966.0176058,1964.5376172,1985.3050368,2045.5876921,2222.4250766,2201.1288641,2242.1160696,2281.1074448,2267.4295739,1993.0765295,1554.3648505,1681.0872063,2001.0076874,2155.7120183,2034.2879275,1936.1266915,1669.0,0.0,0.0,0.0,0.0,0.0
Portugal,467.0189996,448.3889996,572.9140007,529.1770023,672.8110024,632.178999,615.0945992,602.8805005,695.8544007,736.9021018,646.3940922,745.4962916,719.5821928,657.3692826,762.6503143,744.2368889,768.0140824,768.8582821,746.5084817,731.0854139,812.1722278,858.9247851,828.0796456,840.0,0.0,0.0,0.0,0.0,0.0
Romania,441.5340034,335.4170121,600.6830223,419.5900155,347.0469961,549.7760057,696.168,630.3010049,584.4650038,506.8734077,551.0259948,632.5168953,737.5490064,754.9938936,818.2387046,857.0627917,835.1256111,823.5732369,806.767141,774.9448214,795.8747431,801.9002007,849.2236104,891.0,0.0,0.0,0.0,0.0,0.0
Slovakia,0.0,0.0,0.0,275.6959934,233.55522,222.9942398,244.4693742,234.4557885,241.4932251,249.0184932,263.3157415,283.7148754,275.2957982,285.4262863,283.1756553,293.2365048,280.9030874,356.3345739,341.0349294,212.7452448,337.0669734,387.7413126,201.0764773,328.0,0.0,0.0,0.0,0.0,0.0
Slovenia,0.0,0.0,115.4989991,147.5879977,152.0600034,139.5290004,163.8322315,160.7265888,162.0289662,170.5529448,172.6641424,182.8490011,188.4655142,166.5988968,184.9618615,181.471872,175.6884316,194.9588755,194.1698724,198.2751228,205.0660836,207.7191547,184.991224,184.0,0.0,0.0,0.0,0.0,0.0
Spain,2713.7130002,2651.2680008,3044.6790016,2727.6109999,2774.1880012,2731.7360034,2901.2022034,2977.1332993,2996.3625006,3324.0301,2991.3638381,2795.0254889,2833.0362799,2740.3989013,2705.4122029,3007.2495604,3016.6484311,3198.1131017,3485.4755818,3351.8664825,3231.8615047,3148.7311307,3435.225278,3234.0,0.0,0.0,0.0,0.0,0.0
Sweden,1689.3419997,1603.5569941,1634.1349954,1618.3940015,1669.3730005,1203.8419909,1297.7987908,1240.7410891,1248.1246908,1279.2211944,1173.0894861,1251.4479866,1224.3520036,1178.293186,1233.5061894,1169.8317427,1315.0355558,1244.3056564,1272.45469,1132.8926737,1221.4490829,1125.013125,1159.3298765,1175.0,0.0,0.0,0.0,0.0,0.0
United Kingdom,2348.0870104,2341.7400035,2516.0080077,2533.6880114,2639.7380123,2199.8060182,2406.0605155,2440.7665182,2587.8203149,2275.7643115,2342.2825933,2214.8251521,2260.7400997,2235.795821,2458.4958999,2680.2344747,3058.7887185,2823.698258,3067.4315451,3220.1118656,3134.1443042,2925.4494609,2925.8733238,2828.0,0.0,0.0,0.0,0.0,0.0
Japan,5059.8480044,5808.9740021,5132.4319982,5739.8360051,5973.0320057,6116.0080055,5837.9470044,5968.1690001,6051.9450025,6272.902,6625.6599099,6935.5949381,6874.6949428,6769.7719493,7116.9799495,7127.9509492,7268.1863162,7282.0825522,7064.6851125,7130.4034603,7192.3980023,7014.8538097,7130.9466472,7435.0,7494.0,7695.0,7872.0,7742.0,7833.5956675
Norway,726.6640023,757.6529997,736.464001,690.2300011,799.61,657.1400004,713.2946015,675.019402,702.4738002,785.173602,657.200694,709.938594,692.2479945,683.0016581,708.9383708,743.4161967,721.2665981,771.4217104,714.555655,715.2394977,745.6995295,785.1266543,723.3666752,763.0,729.0,788.0,782.0,781.0,734.1667393
Russian Federation,0.0,0.0,1377.157008,1794.7310127,1712.2060188,1650.2920132,1063.1220063,1857.4601794,1647.0716206,1351.7104347,1863.0968085,3032.0986122,3451.4307902,3678.9769849,3076.5782372,3184.7579585,3220.8113718,3977.4379322,3632.5801136,3112.8719557,3700.2797932,3754.1902538,3696.1643005,3648.0,4021.0,3846.0,4439.0,4512.0,4233.5037736
Switzerland,907.4790035,948.8900007,994.8910031,868.7910049,944.3770038,935.1260026,922.0929996,712.4299971,810.5270007,862.7050016,826.9300283,816.0902158,821.0258781,852.4299329,722.0164368,1099.3324491,931.8893723,988.9741938,1149.3016902,965.5446285,1011.808333,1034.9743064,1047.0824941,1123.0,1028.0,1096.0,1066.0,894.0,1170.286972
Tunisia,100.999998,90.2010012,110.5830012,100.6240008,137.2670004,136.7830008,143.6500008,164.6170008,147.417,185.4045404,191.7425547,231.7800844,234.173039,119.6613939,262.9766299,189.7958557,200.4041458,253.3957801,317.4853005,288.7271606,301.4742487,415.3742658,421.1362765,429.0,460.0,458.0,465.0,546.0,532.8003905
USA,18297.6180013,18661.1800011,18290.4529958,19217.136997,17326.1039936,17362.8709859,18059.0007895,17795.4481947,18603.7986929,19359.4276931,18745.5637179,19553.6538074,19124.5109135,20192.6776434,20972.7629194,20997.5440389,20667.3795803,21033.2731039,21652.4270057,21435.9671121,21783.457919,22043.8913838,22231.6637149,23417.0,23767.0,24438.0,25243.0,26183.0,26514.327404
Angola,20.0,30.0,35.0,20.0,25.0,10.0,20.0,40.0,30.0,20.0,20.0,20.0,20.0,15.0,15.0,15.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
Bolivia,25.0,27.0,27.5,28.5,29.5,30.5,31.5,32.5,33.0,34.0,35.0,36.5,37.5,38.5,45.0,41.0,42.0,43.5,45.0,46.0,47.5,49.0,50.5,52.0,53.5,55.0,57.0,58.5,60.0
Brazil,8200.0,8500.0,8900.0,9100.0,9300.0,10100.0,11000.0,11500.0,12200.0,12700.0,13200.0,13590.0,13750.0,14200.0,14946.0,15538.0,16331.0,17110.0,17660.0,18390.0,19132.0,19720.0,20330.0,20085.0,20333.0,20508.0,21225.0,21997.0,22250.0
Burundi,2.0,1.6,1.7,1.91,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.906,1.56,1.357,1.435,1.399,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Ecuador,350.0,350.0,350.0,350.0,350.0,350.0,300.0,300.0,300.0,230.0,200.0,200.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,155.0,155.0,155.0,155.0,155.0,155.0
Indonesia,1242.0,1280.0,1319.0,1359.0,1400.0,1443.0,1486.0,1532.0,1578.0,1626.0,1676.0,2000.0,1779.0,1833.0,2000.0,2500.0,2833.0,3333.0,3333.0,3333.0,3333.0,3667.0,3900.0,4250.0,4417.0,4550.0,4650.0,4750.0,4800.0
Madagascar,350.0,300.0,350.0,360.0,166.666,167.0,167.0,167.0,167.0,56.0,89.1,128.0,217.0,333.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,450.0,430.0,410.0,390.0,370.0,360.0,365.0,375.0
Malawi,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Papua New Guinea,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.43,1.236,1.711,2.039,1.924,1.8,2.0,2.0,2.0
Paraguay,15.0,15.0,15.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
Peru,190.0,190.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,220.0,220.0,220.0,220.0,220.0,220.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
Rwanda,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,0.333,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Timor-Leste,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49
Zimbabwe,8.0,8.0,8.0,8.333,8.333,6.6,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Congo,3.0,2.667,2.667,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Cuba,213.0,213.0,195.0,194.1,194.0,194.0,189.0,195.0,200.0,200.0,213.0,220.0,224.0,224.0,224.0,224.0,224.0,224.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0
Dominican Republic,320.0,320.0,320.0,320.0,330.0,350.0,325.0,325.0,325.0,325.0,325.0,340.198,340.198,340.0,377.998,377.998,377.998,378.0,378.0,378.0,378.0,378.0,378.0,383.333,388.0,388.0,390.0,390.0,390.0
Haiti,220.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,345.0
Philippines,720.0,750.0,750.0,770.0,790.0,810.0,831.0,853.0,810.0,862.0,820.0,821.0,829.0,917.0,1020.0,1040.0,1060.0,1060.0,1720.0,1820.0,2125.0,2175.0,2325.0,2550.0,2800.0,3000.0,3030.0,3180.0,3300.0
Tanzania,4.0,3.5,19.2,17.5,17.5,13.6,16.6,17.0,17.0,14.0,15.0,15.0,15.0,27.0,37.0,47.0,47.0,47.0,47.0,47.0,47.0,58.95,71.7,73.467,76.717,92.05,91.3,91.667,92.0
Zambia,1.5,1.5,1.432,1.0,1.5,0.6,1.0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cameroon,83.3,83.333,83.333,100.0,100.0,100.0,100.0,100.0,100.0,100.0,75.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,68.333,70.017,71.733,73.483,75.317,76.0,77.0,78.0,78.0
Central African Republic,28.0,28.0,28.0,25.0,15.0,10.0,10.0,10.0,19.0,21.0,3.0,3.0,3.787,3.787,3.0,3.0,3.0,3.333,5.0,8.333,10.0,13.333,16.667,20.0,20.0,20.0,20.0,20.0,20.0
Colombia,1235.0,1269.0,1303.0,1339.0,1375.0,1359.0,1343.0,1328.0,1312.0,1297.0,1282.0,1267.0,1252.0,1237.0,1223.0,1209.0,1194.633,1280.923,1290.5,1274.479,1311.024,1435.065,1514.242,1617.02,1665.451,1720.373,1736.4414,1793.271,1791.41
Costa Rica,375.0,375.0,375.0,375.0,375.0,375.0,375.0,375.0,375.0,375.0,375.0,375.0,375.0,375.0,375.0,375.0,375.0,375.0,267.859,295.441,407.221,380.888,423.097,335.06,380.742,448.821,329.457,353.334,365.0
Cote d'Ivoire,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,316.667,316.667,316.667,316.667,316.667,316.667,316.667,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0
Democratic Republic of Congo,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
El Salvador,180.0,180.0,230.0,230.0,230.0,270.0,230.0,191.667,191.667,153.3,144.0,153.3,153.3,153.3,172.5,224.1,253.8,250.5,244.3,268.3,276.0,273.4,276.6,275.0,280.0,285.0,292.0,300.0,300.0
Equatorial Guinea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ethiopia,1200.0,1264.0,1331.0,1402.0,1476.0,1555.0,1637.0,1724.0,1816.0,1912.0,2014.0,2121.0,2234.0,2353.0,2478.0,2609.0,2748.0,2894.0,3048.0,3210.0,3383.0,3383.0,3400.0,3550.0,3625.0,3700.0,3725.0,3750.0,3800.0
Gabon,1.7,1.0,0.8,0.8,1.0,0.8,0.833,0.8,0.8,0.715,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.275,0.25,0.947,1.032,0.967,0.583,0.517,0.5,0.5,0.5,0.5
Ghana,17.0,17.0,17.0,17.0,28.0,28.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.59,1.59,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Guatemala,300.0,300.0,300.0,310.0,310.0,310.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,335.0,320.0,340.0,350.0,360.0,370.0,380.0,390.0,390.0,395.0,395.0
Guinea,25.0,25.0,62.5,33.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
Guyana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.867,4.35,1.883,4.167,4.35,4.75,5.5,5.6,5.717,7.0,8.467,8.233,8.5,8.6,8.7,8.8,8.9,9.0,9.0,9.0,9.0
Honduras,188.154,257.1,240.0,230.0,253.0,161.0,167.924,161.0,138.0,168.0,230.0,200.0,200.0,200.0,230.0,230.0,230.0,245.0,268.333,306.667,335.0,340.0,345.0,350.0,355.0,365.0,370.0,375.0,375.0
India,903.0,916.667,917.0,833.333,835.0,837.0,838.0,839.0,900.0,925.0,975.0,1067.0,1133.0,1167.0,1202.0,1238.0,1275.0,1350.0,1275.0,1325.0,1325.0,1325.0,1375.0,1400.0,1430.0,1450.0,1440.0,1470.0,1475.0
Jamaica,7.0,11.0,6.0,9.6,15.0,15.0,18.0,20.0,14.8,11.0,12.067,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
Kenya,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,55.0,55.0,60.0,60.0,65.0,70.0
Lao PDR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,103.0,135.0,140.0,140.0,140.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,155.0,155.0
Liberia,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Mexico,1374.0,1200.0,1300.0,1070.0,1020.0,1179.0,1235.0,1201.0,1108.0,1150.0,1305.0,1500.0,1500.0,1500.0,1500.0,1725.0,2000.0,2200.0,2200.0,2200.0,2354.0,2354.0,2354.0,2321.0,2347.0,2329.0,2360.0,2400.0,2450.0
Nepal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nicaragua,34.0,138.0,65.6,108.9,89.6,111.5,95.37,123.0,126.5,130.3,174.93,177.323,179.624,181.915,184.278,186.719,189.185,191.645,194.147,196.622,202.745,205.261,207.864,209.561,211.742,213.946,216.728,218.0,220.0
Nigeria,27.5,35.75,35.75,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
Panama,63.0,67.0,67.0,67.0,76.667,76.667,76.667,80.615,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
Sierra Leone,9.0,9.0,9.0,5.0,5.0,8.0,8.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Sri Lanka,66.667,67.0,28.0,20.0,20.0,20.0,20.0,20.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
Thailand,188.0,220.0,233.0,250.0,283.0,417.0,333.0,390.0,433.0,433.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,550.0,600.0,700.0,775.0,1100.0,1130.0,1200.0,1250.0,1300.0,1350.0,1375.0,1400.0
Togo,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.21,0.242,0.238,0.195,0.22,0.254,0.254,0.254
Trinidad & Tobago,8.0,11.5,10.0,10.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Uganda,70.0,75.0,75.0,75.0,80.0,80.0,80.0,101.19,116.0,119.0,142.0,141.0,140.0,131.0,140.0,150.0,175.0,180.25,185.0,188.7,204.0,210.0,216.0,220.8,229.2,234.0,240.0,244.8,250.0
Venezuela,782.39,815.48,849.97,885.93,923.4,962.46,1003.18,1045.61,1089.84,1135.94,1183.99,1234.07,1286.27,1340.68,1397.39,1456.5,1518.11,1582.33,1649.26,1650.0,1650.0,1650.0,1650.0,1650.0,1650.0,1650.0,1650.0,1600.0,1550.0
Vietnam,150.0,230.0,250.0,267.0,267.0,281.845,297.516,314.058,331.519,350.0,401.625,460.865,518.842,606.846,696.356,800.0,917.0,938.0,1021.0,1208.0,1583.0,1650.0,1825.0,2000.0,2200.0,2300.0,2400.0,2500.0,2700.0
Yemen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,136.0,138.0,138.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,125.0,115.0,100.0,90.0,65.0
